Date,Year,Quarter,Year_Quarter,Month_Num,Month_Name,Year_Month,Week_Num,Day,Weekday,Is_Weekend
2014-06-07,2014,Q2,2014-Q2,6,June,2014-06,23,7,Saturday,1
2014-06-08,2014,Q2,2014-Q2,6,June,2014-06,23,8,Sunday,1
2014-06-09,2014,Q2,2014-Q2,6,June,2014-06,24,9,Monday,0
2014-06-10,2014,Q2,2014-Q2,6,June,2014-06,24,10,Tuesday,0
2014-06-11,2014,Q2,2014-Q2,6,June,2014-06,24,11,Wednesday,0
2014-06-12,2014,Q2,2014-Q2,6,June,2014-06,24,12,Thursday,0
2014-06-13,2014,Q2,2014-Q2,6,June,2014-06,24,13,Friday,0
2014-06-14,2014,Q2,2014-Q2,6,June,2014-06,24,14,Saturday,1
2014-06-15,2014,Q2,2014-Q2,6,June,2014-06,24,15,Sunday,1
2014-06-16,2014,Q2,2014-Q2,6,June,2014-06,25,16,Monday,0
2014-06-17,2014,Q2,2014-Q2,6,June,2014-06,25,17,Tuesday,0
2014-06-18,2014,Q2,2014-Q2,6,June,2014-06,25,18,Wednesday,0
2014-06-19,2014,Q2,2014-Q2,6,June,2014-06,25,19,Thursday,0
2014-06-20,2014,Q2,2014-Q2,6,June,2014-06,25,20,Friday,0
2014-06-21,2014,Q2,2014-Q2,6,June,2014-06,25,21,Saturday,1
2014-06-22,2014,Q2,2014-Q2,6,June,2014-06,25,22,Sunday,1
2014-06-23,2014,Q2,2014-Q2,6,June,2014-06,26,23,Monday,0
2014-06-24,2014,Q2,2014-Q2,6,June,2014-06,26,24,Tuesday,0
2014-06-25,2014,Q2,2014-Q2,6,June,2014-06,26,25,Wednesday,0
2014-06-26,2014,Q2,2014-Q2,6,June,2014-06,26,26,Thursday,0
2014-06-27,2014,Q2,2014-Q2,6,June,2014-06,26,27,Friday,0
2014-06-28,2014,Q2,2014-Q2,6,June,2014-06,26,28,Saturday,1
2014-06-29,2014,Q2,2014-Q2,6,June,2014-06,26,29,Sunday,1
2014-06-30,2014,Q2,2014-Q2,6,June,2014-06,27,30,Monday,0
2014-07-01,2014,Q3,2014-Q3,7,July,2014-07,27,1,Tuesday,0
2014-07-02,2014,Q3,2014-Q3,7,July,2014-07,27,2,Wednesday,0
2014-07-03,2014,Q3,2014-Q3,7,July,2014-07,27,3,Thursday,0
2014-07-04,2014,Q3,2014-Q3,7,July,2014-07,27,4,Friday,0
2014-07-05,2014,Q3,2014-Q3,7,July,2014-07,27,5,Saturday,1
2014-07-06,2014,Q3,2014-Q3,7,July,2014-07,27,6,Sunday,1
2014-07-07,2014,Q3,2014-Q3,7,July,2014-07,28,7,Monday,0
2014-07-08,2014,Q3,2014-Q3,7,July,2014-07,28,8,Tuesday,0
2014-07-09,2014,Q3,2014-Q3,7,July,2014-07,28,9,Wednesday,0
2014-07-10,2014,Q3,2014-Q3,7,July,2014-07,28,10,Thursday,0
2014-07-11,2014,Q3,2014-Q3,7,July,2014-07,28,11,Friday,0
2014-07-12,2014,Q3,2014-Q3,7,July,2014-07,28,12,Saturday,1
2014-07-13,2014,Q3,2014-Q3,7,July,2014-07,28,13,Sunday,1
2014-07-14,2014,Q3,2014-Q3,7,July,2014-07,29,14,Monday,0
2014-07-15,2014,Q3,2014-Q3,7,July,2014-07,29,15,Tuesday,0
2014-07-16,2014,Q3,2014-Q3,7,July,2014-07,29,16,Wednesday,0
2014-07-17,2014,Q3,2014-Q3,7,July,2014-07,29,17,Thursday,0
2014-07-18,2014,Q3,2014-Q3,7,July,2014-07,29,18,Friday,0
2014-07-19,2014,Q3,2014-Q3,7,July,2014-07,29,19,Saturday,1
2014-07-20,2014,Q3,2014-Q3,7,July,2014-07,29,20,Sunday,1
2014-07-21,2014,Q3,2014-Q3,7,July,2014-07,30,21,Monday,0
2014-07-22,2014,Q3,2014-Q3,7,July,2014-07,30,22,Tuesday,0
2014-07-23,2014,Q3,2014-Q3,7,July,2014-07,30,23,Wednesday,0
2014-07-24,2014,Q3,2014-Q3,7,July,2014-07,30,24,Thursday,0
2014-07-25,2014,Q3,2014-Q3,7,July,2014-07,30,25,Friday,0
2014-07-26,2014,Q3,2014-Q3,7,July,2014-07,30,26,Saturday,1
2014-07-27,2014,Q3,2014-Q3,7,July,2014-07,30,27,Sunday,1
